variance	energy	centroid	frequency	c5	c6	c7	c8	c9	target
0.089564599	144.6348921	643.8173414	8.102291834	0.022280757	8.090479946	-0.000508715	1515.84	164.386013655471	sintos
0.087941638	143.9953304	536.2005567	8.360050632	0.021048746	7.065011532	-0.000501385	434.83	451.287988565916	sintos
0.074943652	142.6613207	548.6172185	5.754543582	0.023166006	9.522412559	-0.000398569	406.92	347.206728883843	sintos
0.060199165	141.7429733	644.2422241	3.878088438	0.026722876	11.66053588	-0.000328932	423.18	422.196777139666	sintos
0.056932357	165.1144748	614.4934445	3.477904885	0.025509454	8.928764261	-0.000320834	379.21	295.346608065184	sintos
0.059691583	235.465003	673.0725624	3.450263515	0.027482362	2.81218887	-0.000277294	1433.28	23.691568692996	sintos
0.061475009	264.5685482	682.0846396	3.502696403	0.026078849	2.343431807	-0.000324075	1424.23	59.051371710093	sintos
0.058344098	246.0875198	636.4025986	3.415270357	0.025191908	2.068089711	-0.000305892	225.33	420.589610352286	sintos
0.054755287	246.3138513	554.4999837	3.102926578	0.022378687	2.428214843	-0.00027564	206.71	464.663513005267	sintos
0.055583932	242.7058425	566.3597434	3.103530567	0.026330651	2.688404223	-0.000222811	1376.26	52.856798868421	sintos
0.004771766	225.440356	436.4446217	2.464724299	0.027461829	2.211051434	-0.000202892	1416.97	41.040249594581	sintos
0.049323995	202.293578	283.7112961	2.616178151	0.020342595	0.195446555	-0.000182162	1319.13	122.722960119573	sintos
0.043369382	198.6486486	240.6010817	1.961705967	0.019166057	0.130410926	-0.000146022	1288.20	184.157408311181	sintos
0.004110458	305.1579869	373.9791833	1.473159475	0.018557528	-0.630539145	-0.000154858	324.86	333.290664641745	sintos
0.043310541	244.3030239	247.6223894	2.024245309	0.01462592	-0.623392051	-0.000231052	205.85	251.274006366536	sintos
0.042425373	310.3318612	1162.133285	1.870605589	0.040723413	6.863173737	-0.00022806	1300.94	149.354170142989	sintos
0.061583239	163.644907	262.9025813	3.19365466	0.021735038	1.593744462	-0.000219078	1178.13	120.861188812436	sintos
0.001083686	167.7343892	199.0139784	11.31396127	0.019449886	0.179553909	-0.000350312	1229.12	166.962250100507	sintos
0.001313959	176.7133234	216.6353802	17.97923343	0.01866569	-0.213962039	-0.000438669	1220.50	126.975259317042	sintos
0.010268956	165.3620399	229.5287065	11.50547716	0.018755224	1.519525464	-0.000390937	245.51	496.099486048671	sintos
0.005228977	146.1306057	292.7021574	2.86946858	0.020614144	5.238109232	-0.000222926	464.54	551.332702247870	sintos
0.043241059	205.2749134	274.0833212	1.865483686	0.001695193	1.5708748	-0.000155	1211.34	294.134970007667	sintos
0.047114307	230.9590993	416.0725777	2.316919811	0.014674643	1.156949014	-0.000243019	1193.09	112.146100068642	sintos
0.053933246	269.5296581	456.6664667	2.890258355	0.017043979	0.633487841	-0.000245068	1143.27	150.600684609208	sintos
0.054426375	261.4910458	377.2197528	3.229297897	0.00137781	-0.177741211	-0.000223276	278.73	411.699210262594	sintos
0.046583594	243.0177954	342.0356939	2.200297833	0.013196597	-0.672772256	-0.000195703	249.46	390.108209364810	sintos
0.049288872	261.5405471	301.7992744	2.583095846	0.010122611	-2.718173377	-0.000208639	308.09	246.065928349284	sintos
0.061531221	232.4084966	319.7273362	4.084963439	0.011359858	-1.053236972	-0.000293622	292.41	357.284325458120	sintos
0.064353697	206.5318153	284.4915217	3.758854106	0.001317386	1.803168351	-0.000261419	869.93	231.583527405757	sintos
0.057378184	206.5318153	224.1329039	3.303790316	0.015534596	-0.446292223	-0.000296694	932.46	327.768937992743	sintos
0.005444518	206.5318153	290.9554962	3.136227524	0.015573529	1.275197145	-0.000325114	926.30	185.963926723477	sintos
0.051995263	207.3675975	254.7595676	2.858768501	0.02116879	1.076473525	-0.000245272	890.50	280.948386609602	sintos
0.040896048	225.5296592	580.5811251	1.738173593	0.025870901	3.747592021	-0.000195658	889.29	392.801988068219	sintos
0.006522045	147.7440963	447.4910049	3.776079454	0.01662047	6.086637096	-0.000326117	1004.99	168.324132520423	sintos
0.099645718	152.8914767	340.4860023	9.145003464	0.014205593	6.123707388	-0.000456954	329.57	287.832850314651	sintos
0.012395883	157.3847669	429.2980472	15.18370166	0.013539584	5.327082599	-0.000565795	322.62	269.189687502565	sintos
0.001272628	161.3641306	413.0616201	16.50093143	0.015127303	5.306315261	-0.000529529	335.89	243.415858134036	sintos
0.010015119	163.8924125	401.0024315	10.91690676	0.015135861	5.236435193	-0.000497421	312.65	472.155738572261	sintos
0.005896036	149.6110305	402.3677001	3.769401004	0.018935835	7.164471544	-0.000333806	970.35	70.443601937316	sintos
0.068608299	161.5332828	270.019104	4.868422181	0.012312634	3.622026109	-0.000334378	280.07	230.825970297968	sintos
0.086011201	162.0607153	279.7943258	7.834416846	0.013262425	2.706140378	-0.000342617	286.87	214.092558503023	sintos
0.085206977	181.4603853	343.0653904	7.551501459	0.019406078	5.312134194	-0.000399984	329.52	365.729109734105	sintos
0.094094976	254.4430805	346.101753	9.164399619	0.025091645	0.353983409	-0.000361806	298.44	115.041387751997	sintos
0.093289727	262.6705008	317.9658989	9.199362047	0.002634761	0.51204116	-0.000345027	283.21	241.122813416217	sintos
