variance	energy	centroid	frequency	RMS	KURTOSIS	ENTROPIA	MOMENTO	target
0.002855506	-5.65553E-06	22074.08141	215.3320313	0.053411383	2.001399189	3.38911471	0.00285272	sintos
0.001894276	-0.000112748	21758.79008	215.3320313	0.043769362	2.606424216	3.029338209	0.001892428	sintos
0.001945596	0.00015912	21731.18997	215.3320313	0.044620505	2.418606889	3.456502461	0.001943698	sintos
0.00278538	-0.000125631	21824.13333	86.1328125	0.053029977	2.786473863	2.990154488	0.002782663	sintos
0.002430213	-0.000159192	21750.61924	215.3320313	0.049739048	3.025415281	2.926905008	0.002427842	sintos
0.003799145	0.000446612	21200.04483	215.3320313	0.064515406	2.489215672	3.963911045	0.003795439	sintos
0.006885482	-0.000115349	21881.71991	215.3320313	0.083083035	2.416396479	3.310466615	0.006878764	sintos
0.006856082	-0.00021255	21704.16388	215.3320313	0.083274746	2.707928193	3.315752093	0.006849393	sintos
0.007721101	0.000276515	21592.86366	430.6640625	0.08863725	2.456808811	4.089060327	0.007713568	sintos
0.009106673	-1.38893E-05	22072.96413	430.6640625	0.095384301	2.102572312	3.663171897	0.009097789	sintos
0.009803562	-0.000183292	21830.87332	430.6640625	0.099274154	2.138643759	3.538607305	0.009793997	sintos
0.010506297	-2.36385E-05	22063.82231	387.5976563	0.102454996	2.059080355	3.765260923	0.010496047	sintos
0.010467259	0.000184396	21857.19169	387.5976563	0.102570981	2.238163637	3.968082465	0.010457047	sintos
0.013055238	-0.000178596	21911.27859	387.5976563	0.11445813	2.112117754	3.796427034	0.013042501	sintos
0.016195588	6.27919E-05	22029.68146	387.5976563	0.127228855	2.051891858	4.065030207	0.016179787	sintos
0.023084334	-8.52146E-05	22028.99894	430.6640625	0.151905836	3.164160563	4.234793503	0.023061813	sintos
0.021936099	-7.20368E-05	22022.20748	430.6640625	0.148068119	3.401109366	4.371732468	0.021914698	sintos
0.010941333	0.000175443	21890.37516	215.3320313	0.104814804	2.550291616	4.112225189	0.010930659	sintos
0.004898323	-4.18882E-05	22018.81138	387.5976563	0.06997695	3.214523564	3.592998791	0.004893544	sintos
0.002556781	-0.000134411	21772.13533	172.265625	0.050874359	2.350443716	2.961275948	0.002554287	sintos
0.002041046	-1.10382E-05	22059.83965	172.265625	0.045158623	2.039642356	3.148715913	0.002039055	sintos
0.00128424	0.000122995	21737.74482	172.265625	0.03620647	2.325697861	3.290002658	0.001282987	sintos
0.000832874	-3.96511E-06	22071.64306	172.265625	0.028846084	2.278139668	2.724088168	0.000832061	sintos
0.000659339	6.23596E-05	21795.76922	172.265625	0.025808031	1.753936373	2.826331432	0.000658696	sintos
0.001230821	0.000109336	21708.31831	86.1328125	0.035372574	4.644158342	3.051029807	0.001229621	sintos
0.003836201	-0.000123533	21871.30559	215.3320313	0.06212695	3.87548059	2.932354469	0.003832458	sintos
0.006274413	-1.29045E-05	22069.54573	215.3320313	0.079174785	2.529477781	3.586475993	0.006268292	sintos
0.009817635	3.67105E-05	22031.61016	215.3320313	0.099050819	2.381816769	4.007991375	0.009808057	sintos
