variance	energy	centroid	frequency	c5	c6	c7	c8	c9	c10	target
0.046193602	218.3234362	5558.604578	2.748890196	0.038761	0.532165428	10.00049979	-5.70E-05	1111.53	161.9276216	contos
0.045626189	244.0845766	5385.487567	2.717419909	0.054678365	0.564194295	10.10520823	-7.77E-05	1157.34	463.7012234	contos
0.041638606	228.2035885	5044.408094	2.758573069	-0.08569413	0.536674061	10.38765674	-0.0001513	998.88	331.211729	contos
0.042315686	226.0165555	4574.261099	3.084478751	-0.209623337	0.553702676	9.857018995	-0.000168455	680.59	538.6257723	contos
0.096246317	214.9961515	3655.577032	2.835019135	-0.096161435	0.402608618	5.536723939	-0.000529166	1330.5	470.2637236	contos
0.146943088	222.1465303	3230.501246	2.771036125	-0.131910998	0.281923247	4.975261702	-0.000937089	386.8	480.643661	contos
0.132892511	228.2035885	2860.749898	2.776392229	-0.115833326	0.24311417	8.98832342	-0.001109817	476.35	185.180347	contos
0.06883516	226.0165555	2217.623357	2.687491434	-0.064278922	0.220336184	8.820143663	-0.000513036	516.48	147.8351044	contos
0.168584221	272.0637375	5162.032088	2.846008742	-0.050794944	0.539998697	11.63527465	-0.000541172	701.99	210.9476994	contos
0.246483381	279.2352762	3889.89	2.802589503	0.012446841	0.468877353	8.822502181	-0.001812077	709.29	244.3248541	contos
0.279028352	272.0637375	4923.25873	2.787265785	0.005046036	0.535321645	10.2511246	-0.001679813	729.25	327.9446823	contos
0.256233191	286.4068149	5442.277112	2.813849419	-0.035023172	0.636413703	11.03465003	-0.001255921	1694.93	232.8724154	contos
0.157329214	305.6006952	5058.925141	2.766627513	0.003781335	0.604703405	8.767420129	-0.000649766	858.63	361.1255846	contos
0.068867799	317.0062118	5792.743358	2.782911932	0.058631142	0.526696107	11.77035919	-0.000212998	1102.14	555.149844	contos
0.058491123	259.2057004	6008.014966	2.870418068	0.106052131	0.499667212	13.3434669	-0.000108711	1138.37	207.4870865	contos
0.076301295	286.4068149	5898.532978	2.897303469	0.014147273	0.507942178	11.04560005	-0.000292576	977.94	321.4218838	contos
0.080782403	303.2757735	5077.065064	2.837670917	0.036344551	0.467925344	7.443050973	-0.000372381	1654.26	310.8673945	contos
0.097871807	276.61822	4231.607487	2.837148792	-0.019575992	0.389187559	4.064746493	-0.000672323	1074.81	281.0572909	contos
0.095786391	276.61822	4652.767392	2.868692956	0.059018043	0.43849764	6.507603655	-0.000335582	1738.54	369.209154	contos
0.05940301	261.1176066	4791.196274	2.807248386	0.033224636	0.512226415	7.71121362	-0.000274899	1085.73	168.7927936	contos
0.047862643	303.2757735	4662.693592	2.806448601	0.025663109	0.494155472	8.611351996	-0.000193173	1201.07	199.320875	contos
0.041149685	270.3309289	3892.089139	2.861887128	0.074323161	0.473752588	8.810011255	-0.000258058	1128.91	276.9020086	contos
0.071727256	272.3630455	3815.944307	3.236066395	0.075195389	0.588406554	7.318331749	-0.000125635	406.92	174.3563757	contos
0.216956468	308.3662445	4341.592602	4.220415742	0.024802874	0.542683269	7.879387791	-0.001843207	442.29	140.3165472	contos
